country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
IRN,1,46,0,25,0,25,0,1,3,17,0,3,5,6,0,4,9,2,0,3,35,4,3,1,2,0,3,33,7,51,4,0,1,10,4,6,6,21,36,19,0,0,0,0,3,8,1,26,0,9,10,26,29,0,12,0,0,1,3,40,9,1,0,1,5,33,41,2,13,74,3,1,1,5,22,5,3,0,4
ISL,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,2,0,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0
ITA,26,48,1,2,0,42,0,2,0,12,2,22,15,9,6,13,28,0,0,10,35,6,8,5,6,31,4,128,20,38,6,1,3,22,8,26,9,22,9,13,0,11,1,2,26,53,2,32,1,6,20,44,35,0,12,0,0,34,1,30,44,1,26,4,22,118,31,4,13,27,2,2,3,29,17,15,6,3,4
JEY,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
JAM,1,7,0,0,0,8,0,0,0,0,0,9,0,0,1,0,2,1,0,4,1,2,0,0,1,2,0,14,0,7,0,0,0,1,0,1,0,1,7,2,0,1,0,0,0,2,0,1,0,0,4,0,0,0,1,0,2,3,2,4,3,0,1,1,3,21,3,0,1,6,0,0,0,0,5,1,0,0,0
JOR,1,11,1,2,1,4,0,0,0,3,0,1,0,2,3,0,1,0,0,3,2,0,1,1,2,5,0,12,5,7,0,0,1,1,0,1,1,1,11,9,0,7,1,0,0,4,0,0,0,0,1,3,0,1,0,0,0,0,0,9,4,0,3,0,1,5,3,0,2,0,0,0,0,5,3,2,0,0,0
JPN,63,67,5,2,0,42,0,4,4,11,4,14,23,12,2,57,25,3,0,15,28,9,18,4,9,14,2,108,47,37,26,2,9,25,21,22,4,12,17,18,0,9,3,7,52,54,3,11,0,22,17,66,130,0,23,0,1,11,5,56,85,0,8,0,21,53,42,5,32,69,5,1,2,31,39,6,4,4,5
KEN,5,14,0,0,1,23,0,0,0,1,0,7,1,1,0,0,5,1,0,1,3,1,6,2,12,1,1,61,2,16,0,0,2,62,0,1,3,1,12,0,0,0,1,0,2,6,0,3,0,3,1,4,3,0,2,1,0,2,3,8,2,0,1,0,1,9,6,0,6,9,4,0,3,0,7,2,0,0,3
KGZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
KHM,15,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,7,2,0,0,0,0,1,0,1,5,1,0,0,0,0,2,7,1,1,0,1,1,4,3,0,0,0,0,0,0,3,11,0,0,2,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRK,5,14,0,2,0,6,0,0,1,7,0,6,3,3,0,1,8,1,0,0,6,0,8,0,0,1,0,7,1,21,0,0,0,5,11,2,2,6,5,1,0,0,0,1,18,10,2,14,0,6,7,10,7,0,5,0,0,3,0,10,6,0,0,0,5,46,2,0,15,20,1,2,0,4,6,0,2,1,3
KOR,21,52,0,1,0,35,1,1,0,5,1,17,23,8,3,12,45,1,0,3,20,2,19,1,0,2,0,18,8,56,8,1,1,8,24,8,6,22,41,19,0,0,0,5,101,32,9,15,1,26,17,35,41,0,10,0,0,13,1,61,40,0,2,0,43,31,30,1,39,45,1,1,0,19,33,4,5,0,5
KWT,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,1,1,0,0
CYM,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,1,3,3,0,0,0,0,1,0,0,2,0,3,0,1,3,3,0,1,0,0,0,0,3,1,0,0,0,0
LAO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
LBN,1,19,0,12,0,6,0,0,0,2,0,1,2,0,0,0,5,0,0,1,3,0,1,0,0,0,0,10,1,19,1,0,0,3,1,0,0,1,13,3,0,0,0,0,0,1,0,1,0,3,1,3,3,0,3,0,0,3,0,13,2,1,0,0,1,7,3,0,5,2,0,0,0,0,6,0,1,0,1
LCA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LIE,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,5,0,0,0,0,1,0,0,0,0
LKA,10,8,0,0,0,11,0,0,0,0,0,3,1,0,1,1,2,0,0,0,33,0,0,0,0,0,0,5,0,7,0,0,0,0,6,0,1,39,4,1,0,0,0,0,13,14,0,0,0,2,1,0,2,0,0,0,1,2,0,5,4,0,0,0,1,12,63,0,1,48,0,0,0,0,0,1,0,0,0
LBR,0,3,0,0,0,2,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,4,4,0,0,0,0,2,0,0,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
LTU,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
LUX,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
LVA,1,4,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,4,1,1,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0
LBY,2,23,0,12,1,11,0,0,0,26,0,0,4,1,0,4,4,0,0,0,2,4,8,0,2,0,0,24,4,38,1,0,0,0,1,1,3,0,12,3,0,0,0,0,3,0,0,22,0,2,4,10,8,0,4,0,0,2,2,11,9,0,0,0,4,7,4,0,8,6,0,2,1,4,10,0,3,0,13
MAR,0,3,0,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,15,1,8,3,0,0,0,1,1,2,2,0,2,0,2,0,18,0,0,1,1,0,0,0,0,1,3,2,0,1,0,1,7,0,1,2,0,8,0,0,9,3,0,2,4,0,0,0,5,2,0,1,0,1
MCO,4,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,5,0,5,1,0,1,0,0,3,0,1,0,4,0,1,0,2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,3,0,1,3,0,10,0,3,3,5,0,0,3,0,0,0,2,0,1,0,0,0
MDA,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,0,0,1,0,1,0,0,0
MHL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
MKD,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
MLI,0,9,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,5,1,0,1,1,0,1,0,4,6,0,0,0,1,0,12,0,0,0,0,0,1,4,2,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,5,0,0,0,0,5,0,0,0,0
MMR,4,27,0,2,0,9,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,1,4,3,0,0,0,7,1,17,2,0,0,1,0,0,1,0,14,2,0,0,1,0,2,1,0,2,0,3,0,5,4,0,0,0,0,2,0,15,5,0,0,0,0,12,4,0,1,12,0,0,0,1,6,0,1,0,0
MNG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,0,0,1,0,0
MAC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MLT,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,1,2,0,0,3,0,0,1,0,0,0
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
MEX,3,67,1,2,1,28,0,1,1,14,1,7,15,12,10,6,18,0,0,1,11,3,0,3,18,10,3,115,32,46,3,0,1,17,5,15,8,9,46,26,0,2,1,2,12,5,1,8,5,12,7,22,38,1,11,0,3,8,4,51,10,0,12,2,12,24,5,0,11,22,4,0,3,15,13,12,1,2,2
MYS,28,36,0,3,0,19,0,1,1,18,1,8,18,24,0,14,53,0,1,3,51,7,4,0,1,8,3,23,7,31,3,2,0,7,7,3,7,28,25,10,0,8,0,2,56,54,9,21,0,9,7,20,22,0,8,0,0,10,1,20,54,0,5,2,20,26,34,1,26,58,1,0,0,16,12,2,5,0,4
MOZ,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NER,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0
NGA,8,28,0,1,0,32,0,0,1,6,0,9,4,3,1,2,9,1,0,0,7,1,7,3,0,1,0,10,6,27,4,0,2,7,2,0,2,5,16,4,0,0,2,0,12,5,0,3,1,11,5,12,10,0,5,0,0,2,2,17,7,0,0,0,11,33,7,0,12,18,0,0,0,4,16,0,1,0,3
NIC,0,5,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,5,0,0,1,0,2,0,0,0,5,2,0,0,0,0,1,1,0,2,0,2,0,1,1,0,0,0,0,0,1,6,1,0,0,0,3,1,1,0,1,4,0,0,1,2,2,0,0,0,0
NLD,5,31,1,0,0,22,0,1,1,5,1,3,4,1,5,5,4,0,0,5,8,0,0,2,5,12,0,37,7,20,1,0,4,6,3,5,5,6,8,1,0,1,0,1,8,10,1,11,0,5,8,27,18,1,7,0,0,7,0,25,5,0,2,2,7,28,6,0,6,7,2,0,0,5,11,6,0,0,3
NOR,2,5,0,0,0,10,0,2,1,2,2,14,2,0,1,2,1,2,0,0,2,0,1,0,1,0,1,12,2,2,5,0,1,1,2,5,0,1,2,2,0,0,0,0,1,5,2,4,0,0,2,8,5,0,3,0,0,1,1,4,2,0,1,1,1,12,1,1,2,3,0,0,0,1,4,4,0,0,1
NPL,3,18,0,0,0,7,0,2,2,0,1,8,5,3,0,1,3,0,0,0,8,1,4,0,2,1,1,9,5,13,0,0,0,3,10,2,0,16,14,6,0,1,9,1,24,9,0,4,0,9,6,13,6,0,2,0,0,1,2,15,6,0,2,0,6,8,32,0,7,53,0,0,1,3,7,3,0,0,0
NRU,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,62,17,1,0,1,33,0,1,2,1,1,15,6,5,1,5,15,2,0,11,37,1,0,0,25,2,3,69,9,6,0,2,2,13,7,9,5,27,3,17,0,1,1,2,8,175,7,2,0,3,6,11,21,0,2,0,4,6,2,9,189,0,1,0,12,53,19,2,8,68,2,0,1,13,4,7,0,5,2
OMN,1,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
PAN,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0
PER,1,10,0,0,0,7,0,0,0,1,0,5,1,1,1,1,2,1,0,0,4,0,0,2,0,1,0,19,2,6,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,2,1,2,0,2,1,3,5,0,3,0,1,3,0,6,2,0,2,1,2,9,2,1,0,0,0,0,0,2,2,0,0,0,0
PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNG,26,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,8,0,1,0,1,0,0,2,0,0,0,0,1,0,2,26,0,0,0,1,15,3,0,0,3,0,0,0,2,0,0,0,0,0
PHL,7,29,2,0,1,7,0,0,0,3,0,23,7,4,3,3,9,0,0,1,11,3,4,1,2,2,4,88,9,20,3,2,0,4,4,9,2,5,23,15,0,2,0,0,5,5,0,4,0,7,2,7,19,0,5,0,2,4,1,62,8,0,2,2,5,14,14,1,6,22,2,0,4,8,6,1,3,0,1
PAK,10,27,0,7,0,35,2,0,2,5,0,9,8,1,1,0,15,1,0,2,195,1,8,3,0,0,0,12,1,25,3,2,2,7,39,0,3,167,25,9,0,0,0,0,112,18,1,5,0,14,3,31,18,1,5,0,1,7,1,22,9,0,0,2,8,27,184,0,10,301,1,1,0,6,12,2,1,0,4
POL,1,16,1,0,0,8,0,1,2,7,1,0,2,1,0,0,1,1,0,3,4,1,6,4,0,3,1,26,2,14,1,0,0,1,2,4,1,5,6,4,0,4,0,0,4,2,0,8,1,5,3,10,10,1,3,0,1,4,1,14,2,0,3,1,7,14,1,1,7,11,0,0,0,8,10,3,2,0,3
PRI,0,19,0,0,0,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,6,0,21,2,16,1,0,0,1,0,1,0,0,8,1,0,3,0,0,1,0,0,1,0,2,2,2,6,0,0,0,0,0,0,11,0,0,4,0,1,0,1,0,1,0,0,0,0,3,3,0,0,0,1
PSE,5,16,0,6,0,5,0,0,0,6,0,2,0,2,2,0,5,3,0,0,2,2,4,2,0,1,0,10,0,16,1,0,0,0,0,0,0,3,8,8,0,1,0,0,5,6,0,4,0,4,4,11,6,3,3,0,0,1,0,16,8,0,1,1,6,7,1,1,8,7,0,1,0,5,11,1,1,0,1
PRT,4,4,1,2,0,9,0,1,0,0,1,3,1,1,1,4,4,0,0,1,10,0,6,1,0,6,0,19,1,4,5,0,0,0,0,0,0,5,2,0,0,2,0,0,3,10,1,1,0,0,0,5,11,0,1,0,1,13,0,3,18,0,6,0,2,24,5,0,0,3,0,0,1,3,1,1,1,0,0
PLW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
QAT,4,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,2,0,1,0,5,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,6,0,0,1,0,1,7,4,0,0,0,0,3,1,2,4,0,2,0,0,6,1,0,0,6,0,0,0,0,2,1,0,0,1
ROU,3,5,0,0,0,4,0,0,0,0,0,2,1,2,0,0,1,1,0,1,1,0,0,0,0,8,0,9,5,3,0,0,0,3,0,1,2,2,1,1,0,11,0,2,0,1,0,1,1,0,1,2,3,0,0,0,0,2,1,0,1,0,8,0,1,5,0,0,0,5,0,0,0,6,4,3,0,0,2
SRB,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,2,0,0,6,0,3,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0,0,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0
