country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
TKM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
TUN,2,9,0,7,1,8,0,1,2,1,1,0,4,0,4,7,9,0,0,2,3,2,4,2,2,1,3,30,8,14,5,1,6,14,1,8,7,1,5,0,0,0,1,5,5,4,0,6,0,6,2,13,15,0,3,0,1,5,3,6,3,0,0,2,4,21,13,2,7,6,0,0,0,6,13,5,1,0,1
TON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,7,16,2,19,0,19,0,2,1,4,1,5,1,6,3,8,4,1,1,3,7,1,19,6,2,6,4,36,5,11,5,1,1,2,0,7,4,3,6,7,0,1,0,2,15,14,0,4,0,4,6,19,13,0,4,0,1,4,0,14,26,1,2,1,9,17,7,0,7,13,1,0,0,1,13,0,0,0,3
TTO,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
TUV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,2,3,0,0,0,8,0,0,1,1,0,0,0,0,0,3,3,1,0,0,1,0,0,1,0,1,0,3,10,1,1,0,1,4,3,4,1,1,1,4,0,0,0,0,12,0,0,2,0,1,0,8,17,0,1,0,0,0,0,2,2,0,0,0,0,1,8,0,0,7,0,0,1,0,1,3,0,0,0
TZA,0,1,0,1,0,0,0,1,0,0,1,2,2,1,1,0,1,0,0,2,1,0,1,0,1,0,0,16,0,0,0,1,3,7,0,2,0,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,4,1,0,0,1,0,0
UKR,33,138,0,14,0,112,3,6,3,82,6,73,46,26,3,96,46,20,1,1,84,31,89,17,1,5,1,57,35,127,40,3,1,34,23,8,14,28,86,78,0,4,0,36,71,33,23,75,4,65,16,77,157,0,24,0,1,30,5,115,92,2,2,5,99,149,60,5,125,96,0,7,0,38,71,2,32,1,20
UGA,1,6,0,0,0,4,0,1,0,3,0,3,0,0,2,0,0,0,0,0,3,0,0,2,1,0,0,2,0,9,0,0,3,3,0,2,2,0,5,0,0,0,0,0,1,2,2,0,0,2,1,3,1,0,2,0,0,0,0,4,0,0,0,3,1,5,0,0,2,0,0,0,0,2,6,0,0,0,0
