rank,domain,url,CD type,CD country,LL type,LL country,RB type,RB country,type,country,
30,urbandictionary.com,urbandictionary.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
31,cnbc.com,cnbc.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
32,wired.com,wired.com,Magazine,US,magazine,US,magazine,US,magazine,us,
33,gawker.com,gawker.com,Online,US,online,GB,online,US,online,us,
34,deezer.com,deezer.com,Mismatch ,,magazine,FR,mismatch,US,mismatch,ERROR,
35,sky.com,sky.com,Broadcast ,Gb,mismatch,GB,broadcast,US,broadcast,gb,
36,comcast.com,comcast.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
37,fandango.com,fandango.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
38,cbsnews.com,cbsnews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
39,spotify.com,spotify.com,online,US,mismatch,US,mismatch,US,mismatch,us,
40,ultimate-guitar.com,ultimate-guitar.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
41,last.fm,last.fm,Mismatch,US,mismatch,GB,mismatch,US,mismatch,us,
42,cbc.ca,cbc.ca,Broadcast,CA,broadcast,CA,broadcast,CA,broadcast,ca,
43,cbs.com,cbs.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
44,foxnews.com,foxnews.com/entertainment/,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
45,sportsillustrated.cnn.com,sportsillustrated.cnn.com,Magazine,US,magazine,US,broadcast,US,magazine,us,
46,ksl.com,ksl.com, Broadcast,Us,broadcast,US,broadcast,US,broadcast,us,
47,salon.com,salon.com,Online,US,online,US,online,US,online,us,
48,pbs.org,pbs.org,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
49,hgtv.com,hgtv.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
50,theatlantic.com,theatlantic.com,Magazine,US,magazine,US,magazine,US,magazine,us,
51,tvguide.com,tvguide.com,Magazine,US,magazine,US,mismatch,US,magazine,us,
52,ew.com,ew.com,Broadcast,US,magazine,US,magazine,US,magazine,us,
53,home.disney.go.com,home.disney.go.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
54,dw.de,dw.de,broadcast,DE,aggregator,DE,broadcast,DE,broadcast,de,
55,metrolyrics.com,metrolyrics.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
56,hollywoodreporter.com,hollywoodreporter.com,magazine,US,magazine,US,mismatch,US,newspaper,us,resolved as newspaper from news spreadsheet
57,discogs.com,discogs.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
58,rollingstone.com,rollingstone.com,Magazine,US,magazine,US,magazine,US,magazine,us,
59,mtv.com,mtv.com,Broadcast ,US,mismatch,US,mismatch,US,mismatch,us,
60,discovery.com,discovery.com,Broadcast,US,mismatch,US,mismatch,US,mismatch,us,
61,abc.net.au,abc.net.au,Broadcast,AU,broadcast,AU,broadcast,US,broadcast,au,
62,fanfiction.net,fanfiction.net,mismatch,,mismatch,US,broadcast,US,mismatch,us,
63,egotastic.com,egotastic.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
64,skyscrapercity.com,skyscrapercity.com,mismatch,,mismatch,NL,mismatch,US,mismatch,ERROR,
65,billboard.com,billboard.com/#/news/phair-play-liz-indulges-in-the-major-label-1933414.story,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
66,filmaffinity.com,filmaffinity.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
67,abc.go.com,abc.go.com,broadcast,US,broadcast,US,broadcast,US,broadcast,us,
68,metacritic.com,metacritic.com,mismatch,,mismatch,US,aggregator,US,mismatch,us,
69,cbc.ca,cbc.ca/news/,broadcast,CA,broadcast,CA,broadcast,CA,broadcast,ca,
70,rapgenius.com,rapgenius.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
71,directv.com,directv.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
72,tv.com,tv.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
73,tv.msn.com,tv.msn.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
74,nbc.com,nbc.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
75,on.aol.com,on.aol.com,online,US,aggregator,US,mismatch,US,ERROR,us,"resolved as 'mismatch' because it primarily an online video platform, not text"
76,boxofficemojo.com,boxofficemojo.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
77,xkcd.com,xkcd.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
78,pbskids.org,pbskids.org,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
79,allmusic.com,allmusic.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
80,moviefone.com,moviefone.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
81,tsn.ca,tsn.ca,Mismatch,CA,aggregator,CA,broadcast,CA,ERROR,ca,resolved as 'broadcast' because it is a sports broadcast TV channel in Canada
82,newyorker.com,newyorker.com,Magazine ,US,magazine,US,magazine,US,magazine,us,
83,cox.com,cox.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
84,voanews.com,voanews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
85,variety.com,variety.com,Magazine ,US,magazine,US,magazine,US,magazine,us,
86,nick.com,nick.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
87,b92.net,b92.net,broadcast,RS,aggregator,RS,broadcast,RS,broadcast,rs,
88,abc.net.au,abc.net.au/news/,broadcast,AU,broadcast,AU,broadcast,AU,broadcast,au,
89,oprah.com,oprah.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
90,cartoonnetwork.com,cartoonnetwork.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
91,canon.com,canon.com,Mismatch ,,mismatch,US,mismatch,US,mismatch,us,
92,bbc.co.uk,bbc.co.uk/radio/,broadcast,GB,broadcast,GB,broadcast,GB,broadcast,gb,
93,boingboing.net,boingboing.net,online,US,aggregator,US,online,US,online,us,
94,irib.ir,irib.ir,broadcast,IR,unknown,IR,broadcast,IR,broadcast,ir,
95,heavy.com,heavy.com,mismatch,,mismatch,US,online,US,mismatch,us,
96,nickjr.com,nickjr.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
97,lyricsfreak.com,lyricsfreak.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
98,rai.it,rai.it,broadcast,IT,aggregator,IT,broadcast,IT,broadcast,it,
99,rfi.fr,rfi.fr,broadcast,FR,aggregator,FR,broadcast,FR,broadcast,fr,
100,lipsum.com,lipsum.com,mismatch,,mismatch,US,mismatch,US,mismatch,us,
