,ISO,country,percent_population,GDP_PPP_Billions,GDP_percent
127,RWA,Rwanda,0.15%,16.368,0.019
128,SAU,Saudi Arabia,0.42%,937.163,1.077
129,SDN,Sudan,0.52%,90.462,0.104
130,SEN,Senegal,0.18%,27.660,0.032
131,SGP,Singapore,0.075%,348.700,0.401
132,SLB,Solomon Islands,0.0081%,1.943,0.002
133,SLE,Sierra Leone,0.086%,9.411,0.011
134,SLV,El Salvador,0.089%,47.536,0.055
135,SMR,San Marino,0.00046%,1.390,0.002
136,SRB,Serbia,0.1%,81.125,0.093
137,SSD,South Sudan,0.16%,14.693,0.017
138,SUR,Suriname,0.0075%,7.179,0.008
139,SVN,Slovenia,0.029%,57.441,0.066
140,SWE,Sweden,0.13%,396.837,0.456
141,SWZ,Swaziland,0.017%,6.793,0.008
142,SYC,Seychelles,0.0013%,2.461,0.003
143,SYR,Syria,0.31%,n/a,n/a
144,TCD,Chad,0.18%,27.956,0.032
145,TGO,Togo,0.086%,7.391,0.008
146,THA,Thailand,0.9%,673.725,0.774
147,TJK,Tajikistan,0.11%,19.142,0.022
148,TKM,Turkmenistan,0.073%,54.246,0.062
149,TLS,Timor-Leste,0.015%,25.772,0.030
150,TON,Tonga,0.0014%,0.847,0.001
151,TTO,Trinidad and Tobago,0.019%,27.471,0.032
152,TUN,Tunisia,0.15%,108.430,0.125
153,TUR,Turkey,1.07%,1174.229,1.350
154,TUV,Tuvalu,0.00016%,0.040,--
155,TZA,Tanzania,0.63%,79.388,0.091
156,UGA,Uganda,0.49%,54.643,0.063
157,UKR,Ukraine,0.6%,336.807,0.387
158,URY,Uruguay,0.046%,56.730,0.065
159,USA,United States,4.44%,16799.700,19.311
160,UVK,Kosovo,0.025%,14.034,0.016
161,UZB,Uzbekistan,0.42%,113.755,0.131
162,VEN,Venezuela,0.4%,407.940,0.469
163,VNM,Vietnam,1.25%,359.796,0.414
164,VUT,Vanuatu,0.0037%,1.257,0.001
165,WSM,Samoa,0.0026%,1.142,0.001
166,YEM,Yemen,0.35%,61.752,0.071
167,ZAF,South Africa,0.74%,596.532,0.686
168,ZMB,Zambia,0.2%,25.501,0.029
169,ZWE,Zimbabwe,0.18%,10.332,0.012
